date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:48:28	69/69	---M-Z	200	added ('OK')	text/plain	date:Sun,%2012%20Jan%202020%2016:34:11%20GMT	http://www.swarksha.org/robots.txt		(from )
12:48:28	99233/99233	---M-Z	200	added ('OK')	text/html	date:Sun,%2012%20Jan%202020%2016:34:11%20GMT	http://www.swarksha.org/	B:/project/swaraksha/www.swarksha.org/index.html	(from )
12:48:28	41467/41467	---M-Z	200	added ('OK')	text/css	etag:W/%220-gzip%22	http://www.swarksha.org/wp-includes/css/dist/block-library/style.min.css,qver=5.3.2.pagespeed.ce.nu3cUbC0ol.css	B:/project/swaraksha/www.swarksha.org/wp-includes/css/dist/block-library/style.min.css,qver=5.3.2.pagespeed.ce.nu3cUbC0ol.css	(from http://www.swarksha.org/)
12:48:28	171537/171537	---M-Z	200	added ('OK')	text/css	etag:W/%220%22	http://www.swarksha.org/wp-content/plugins/google-language-translator/css/A.style.css,qver=6.0.3.pagespeed.cf.9lf7_Ptp4p.css	B:/project/swaraksha/www.swarksha.org/wp-content/plugins/google-language-translator/css/A.style.css,qver=6.0.3.pagespeed.cf.9lf7_Ptp4p.css	(from http://www.swarksha.org/)
12:48:29	5100/5100	---M-Z	200	added ('OK')	text/css	etag:W/%220%22	http://www.swarksha.org/wp-content/plugins/google-language-translator/css/A.toolbar.css,qver=6.0.3.pagespeed.cf.Nn8JN1agSk.css	B:/project/swaraksha/www.swarksha.org/wp-content/plugins/google-language-translator/css/A.toolbar.css,qver=6.0.3.pagespeed.cf.Nn8JN1agSk.css	(from http://www.swarksha.org/)
12:48:29	1050/1050	---M-Z	200	added ('OK')	application/rss+xml	etag:%2292d742aa42c3ddb9b0a008a35dee30a0-gzip%22	http://www.swarksha.org/feed/	B:/project/swaraksha/www.swarksha.org/feed/index.html	(from http://www.swarksha.org/)
12:48:29	724/724	---M-Z	200	added ('OK')	application/rss+xml	etag:%22ffdad1969b3696b49a55df4fc67c27f5-gzip%22	http://www.swarksha.org/comments/feed/	B:/project/swaraksha/www.swarksha.org/comments/feed/index.html	(from http://www.swarksha.org/)
12:48:29	5330/5330	---M-Z	200	added ('OK')	text/css	etag:W/%220%22	http://www.swarksha.org/wp-content/plugins/sp-news-and-widget/assets/css/A.stylenews.css,qver=4.2.pagespeed.cf.9VV_Enr8VG.css	B:/project/swaraksha/www.swarksha.org/wp-content/plugins/sp-news-and-widget/assets/css/A.stylenews.css,qver=4.2.pagespeed.cf.9VV_Enr8VG.css	(from http://www.swarksha.org/)
12:48:30	187832/187832	---M-Z	200	added ('OK')	text/css	etag:W/%220%22	http://www.swarksha.org/wp-content/themes/twentynineteen/A.style.css,qver=1.4.pagespeed.cf.8KpZ4tMKXP.css	B:/project/swaraksha/www.swarksha.org/wp-content/themes/twentynineteen/A.style.css,qver=1.4.pagespeed.cf.8KpZ4tMKXP.css	(from http://www.swarksha.org/)
12:48:30	2692/2692	---M-Z	200	added ('OK')	text/css	etag:W/%220%22	http://www.swarksha.org/wp-content/themes/twentynineteen/A.print.css,qver=1.4.pagespeed.cf.cJxSsWHbdG.css	B:/project/swaraksha/www.swarksha.org/wp-content/themes/twentynineteen/A.print.css,qver=1.4.pagespeed.cf.cJxSsWHbdG.css	(from http://www.swarksha.org/)
12:48:31	14948/14948	---M-Z	200	added ('OK')	text/css	etag:W/%220%22	http://www.swarksha.org/wp-content/plugins/elementor/assets/lib/eicons/css/A.elementor-icons.min.css,qver=5.5.0.pagespeed.cf.t1QswRRtW1.css	B:/project/swaraksha/www.swarksha.org/wp-content/plugins/elementor/assets/lib/eicons/css/A.elementor-icons.min.css,qver=5.5.0.pagespeed.cf.t1QswRRtW1.css	(from http://www.swarksha.org/)
12:48:31	57180/57180	---MCZ	200	added ('OK')	text/css	etag:W/%22500d1a92f875b1d96d37a3a3f8f0438c%22	https://use.fontawesome.com/releases/v5.12.0/css/all.css	B:/project/swaraksha/use.fontawesome.com/releases/v5.12.0/css/all.css	(from http://www.swarksha.org/)
12:48:31	18468/18468	---M-Z	200	added ('OK')	text/css	etag:W/%220-gzip%22	http://www.swarksha.org/wp-content/plugins/elementor/assets/lib/animations/animations.min.css,qver=2.8.2.pagespeed.ce.RgG6VQREE3.css	B:/project/swaraksha/www.swarksha.org/wp-content/plugins/elementor/assets/lib/animations/animations.min.css,qver=2.8.2.pagespeed.ce.RgG6VQREE3.css	(from http://www.swarksha.org/)
12:48:32	104255/104255	---M-Z	200	added ('OK')	text/css	etag:W/%220-gzip%22	http://www.swarksha.org/wp-content/plugins/elementor/assets/css/frontend.min.css,qver=2.8.2.pagespeed.ce.18shS0Z9Pm.css	B:/project/swaraksha/www.swarksha.org/wp-content/plugins/elementor/assets/css/frontend.min.css,qver=2.8.2.pagespeed.ce.18shS0Z9Pm.css	(from http://www.swarksha.org/)
12:48:32	186605/186605	---M-Z	200	added ('OK')	text/css	etag:W/%220-gzip%22	http://www.swarksha.org/wp-content/plugins/elementor-pro/assets/css/frontend.min.css,qver=2.2.5.pagespeed.ce.Cqh0RVlyQb.css	B:/project/swaraksha/www.swarksha.org/wp-content/plugins/elementor-pro/assets/css/frontend.min.css,qver=2.2.5.pagespeed.ce.Cqh0RVlyQb.css	(from http://www.swarksha.org/)
12:48:33	18526/18526	---M-Z	200	added ('OK')	text/css	etag:W/%220%22	http://www.swarksha.org/wp-content/uploads/elementor/css/A.global.css,qver=1576660314.pagespeed.cf.kbxQTW_JuE.css	B:/project/swaraksha/www.swarksha.org/wp-content/uploads/elementor/css/A.global.css,qver=1576660314.pagespeed.cf.kbxQTW_JuE.css	(from http://www.swarksha.org/)
12:48:33	32986/32986	---M-Z	200	added ('OK')	text/css	etag:W/%220%22	http://www.swarksha.org/wp-content/uploads/elementor/css/A.post-8.css,qver=1576782255.pagespeed.cf.Vx_zWlU4TI.css	B:/project/swaraksha/www.swarksha.org/wp-content/uploads/elementor/css/A.post-8.css,qver=1576782255.pagespeed.cf.Vx_zWlU4TI.css	(from http://www.swarksha.org/)
12:48:34	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2012%20Jan%202020%2016:34:17%20GMT	http://cdn.jsdelivr.net/fontawesome/4.7.0/css/font-awesome.min.css?ver=4.7.0	B:/project/swaraksha/cdn.jsdelivr.net/fontawesome/4.7.0/css/font-awesome.min.d1849.delayed	(from http://www.swarksha.org/)
12:48:34	31000/31000	---M-Z	200	added ('OK')	text/css	etag:W/%227918-USx9eQM+MCipvmG1QM8aaHDIlvg%22	https://cdn.jsdelivr.net/fontawesome/4.7.0/css/font-awesome.min.css?ver=4.7.0	B:/project/swaraksha/cdn.jsdelivr.net/fontawesome/4.7.0/css/font-awesome.min1849.css	(from http://www.swarksha.org/)
12:48:34	54355/54355	---M-Z	200	added ('OK')	text/css	etag:W/%220%22	http://www.swarksha.org/wp-content/plugins/elementor/assets/lib/font-awesome/css/A.fontawesome.min.css,qver=5.9.0.pagespeed.cf.rNWeQGtd2r.css	B:/project/swaraksha/www.swarksha.org/wp-content/plugins/elementor/assets/lib/font-awesome/css/A.fontawesome.min.css,qver=5.9.0.pagespeed.cf.rNWeQGtd2r.css	(from http://www.swarksha.org/)
12:48:34	26702/26702	---MCZ	200	added ('OK')	text/css	etag:W/%2255ab7f65f6025cf7f088dd2e5897bb29%22	https://use.fontawesome.com/releases/v5.12.0/css/v4-shims.css	B:/project/swaraksha/use.fontawesome.com/releases/v5.12.0/css/v4-shims.css	(from http://www.swarksha.org/)
12:48:47	75440/75440	---M--	200	added ('OK')	font/woff2	etag:%22126b0-599e19e8402cb%22	http://www.swarksha.org/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-solid-900.woff2	B:/project/swaraksha/www.swarksha.org/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-solid-900.woff2	(from http://www.swarksha.org/)
12:48:51	98020/98020	---M--	200	added ('OK')	font/woff	etag:%2217ee4-599e19e84126b%22	http://www.swarksha.org/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-solid-900.woff	B:/project/swaraksha/www.swarksha.org/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-solid-900.woff	(from http://www.swarksha.org/)
12:48:59	839388/839388	---M--	200	added ('OK')	image/svg+xml	etag:%22ccedc-599e19e8402cb%22	http://www.swarksha.org/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-solid-900.svg	B:/project/swaraksha/www.swarksha.org/wp-content/plugins/elementor/assets/lib/font-awesome/webfonts/fa-solid-900.svg	(from http://www.swarksha.org/)
12:49:05	96779/96779	---M-Z	200	added ('OK')	application/javascript	etag:W/%220%22	http://www.swarksha.org/wp-includes/js/jquery/jquery.js,qver=1.12.4-wp.pagespeed.jm.gp20iU5FlU.js	B:/project/swaraksha/www.swarksha.org/wp-includes/js/jquery/jquery.js,qver=1.12.4-wp.pagespeed.jm.gp20iU5FlU.js	(from http://www.swarksha.org/)
12:49:06	804/804	---M-Z	200	added ('OK')	text/xml	date:Sun,%2012%20Jan%202020%2016:34:49%20GMT	http://www.swarksha.org/xmlrpc.php?rsd	B:/project/swaraksha/www.swarksha.org/xmlrpc0db0.php	(from http://www.swarksha.org/)
